# Version: 1.2
# AI Server Manager model list
# Format: category|ollama_name|display_label|size_or_note
# Categories currently used by the UI: Assistant, Roleplay, Vision
# Keep this file plain text so it can be updated from GitHub without changing models.py.

[Assistant]
llama3.2:1b|Llama 3.2 1B - tiny/fast|1B
dolphin-phi:2.7b|Dolphin Phi 2.7B - lightweight roleplay|2.7B
dolphin-phi:latest|Dolphin Phi - compact chat model|latest
dolphin3:8b|Dolphin 3 8B - modern roleplay model|8B
dolphin3:24b|Dolphin 3 24B - premium roleplay model|24B
mythomax:13b|MythoMax 13B - popular storytelling model|13B
mythalion:13b|Mythalion 13B - fantasy roleplay|13B
psyfighter2:13b|Psyfighter 2 13B - creative writing|13B
xwinlm:13b|XwinLM 13B - conversational model|13B
airoboros:7b|Airoboros 7B - uncensored assistant|7B
airoboros:13b|Airoboros 13B - advanced chat|13B
samantha-mistral:7b|Samantha Mistral - empathetic chat|7B
zephyr:7b|Zephyr 7B - instruction tuned chat|7B
zephyr:141b|Zephyr 141B - very large chat model|141B
openhermes:2.5|OpenHermes 2.5 - assistant/roleplay|7B
openhermes:latest|OpenHermes - general chat model|latest
solar:10.7b|SOLAR 10.7B - conversational assistant|10.7B
vicuna:7b|Vicuna 7B - classic chat model|7B
vicuna:13b|Vicuna 13B - larger chat model|13B
stablelm2:1.6b|StableLM 2 1.6B - lightweight chat|1.6B
stablelm2:12b|StableLM 2 12B - balanced chat|12B

[Vision]
llava:7b|LLaVA 7B - image understanding|7B
llava:13b|LLaVA 13B - stronger image understanding|13B
llava:34b|LLaVA 34B - large image understanding|34B
llava-llama3:8b|LLaVA Llama 3 8B - image chat|8B
bakllava:7b|BakLLaVA 7B - image chat|7B
moondream:latest|Moondream - small vision model|latest
minicpm-v:8b|MiniCPM-V 8B - compact vision model|8B
llama3.2-vision:11b|Llama 3.2 Vision 11B - multimodal assistant|11B
llama3.2-vision:90b|Llama 3.2 Vision 90B - flagship multimodal|90B
qwen2.5vl:3b|Qwen 2.5 VL 3B - lightweight vision|3B
qwen2.5vl:7b|Qwen 2.5 VL 7B - balanced vision|7B
qwen2.5vl:32b|Qwen 2.5 VL 32B - premium vision|32B
minicpm-v:2b|MiniCPM-V 2B - tiny vision model|2B
minicpm-v:4b|MiniCPM-V 4B - compact vision model|4B
minicpm-v:26b|MiniCPM-V 26B - advanced vision model|26B
phi4-multimodal:latest|Phi-4 Multimodal - text, image, audio|latest
granite3.2-vision:2b|Granite Vision 2B - lightweight|2B
granite3.2-vision:8b|Granite Vision 8B - balanced|8B
ovis:2b|Ovis 2B - tiny multimodal model|2B
ovis:8b|Ovis 8B - balanced multimodal model|8B
ovis:34b|Ovis 34B - large multimodal model|34B
internvl2:2b|InternVL2 2B - lightweight vision|2B
internvl2:8b|InternVL2 8B - balanced vision|8B
internvl2:26b|InternVL2 26B - premium vision|26B
cogvlm2:19b|CogVLM2 19B - advanced image understanding|19B
mantis:8b|Mantis 8B - multimodal assistant|8B
mantis:34b|Mantis 34B - premium multimodal|34B
